# x	y	u	v	mask
 82.0000	418.0000	-55.0000	 20.0000	  0.0000
 94.0000	418.0000	     nan	     nan	  1.0000
106.0000	418.0000	     nan	     nan	  1.0000
118.0000	418.0000	     nan	     nan	  1.0000
130.0000	418.0000	     nan	     nan	  1.0000
142.0000	418.0000	     nan	     nan	  1.0000
154.0000	418.0000	 11.8999	 -0.0000	  0.0000
166.0000	418.0000	     nan	     nan	  1.0000
178.0000	418.0000	     nan	     nan	  1.0000
190.0000	418.0000	 81.7792	 50.0000	  0.0000
202.0000	418.0000	-55.0000	-71.7694	  0.0000
214.0000	418.0000	 21.7327	-16.4940	  0.0000
226.0000	418.0000	     nan	     nan	  1.0000
238.0000	418.0000	     nan	     nan	  1.0000
250.0000	418.0000	-31.8971	-19.4922	  0.0000
262.0000	418.0000	     nan	     nan	  1.0000
274.0000	418.0000	 23.3659	 18.2466	  0.0000
286.0000	418.0000	     nan	     nan	  1.0000
298.0000	418.0000	-23.7925	-19.0877	  0.0000
310.0000	418.0000	-15.4441	 -8.9382	  0.0000
322.0000	418.0000	-13.4062	  0.5439	  0.0000
334.0000	418.0000	-10.9141	  0.2674	  0.0000
346.0000	418.0000	-18.4843	-12.0090	  0.0000
358.0000	418.0000	-12.1124	-31.4123	  0.0000
370.0000	418.0000	-76.3292	-17.2996	  0.0000
382.0000	418.0000	     nan	     nan	  1.0000
394.0000	418.0000	 53.4269	-23.6152	  0.0000
406.0000	418.0000	     nan	     nan	  1.0000
418.0000	418.0000	-37.9209	 38.9332	  0.0000
430.0000	418.0000	-56.1075	 -8.6439	  0.0000
442.0000	418.0000	-75.0000	-37.3894	  0.0000
454.0000	418.0000	     nan	     nan	  1.0000
466.0000	418.0000	     nan	     nan	  1.0000
478.0000	418.0000	     nan	     nan	  1.0000
490.0000	418.0000	     nan	     nan	  1.0000
502.0000	418.0000	     nan	     nan	  1.0000
 10.0000	406.0000	     nan	     nan	  1.0000
 22.0000	406.0000	     nan	     nan	  1.0000
 34.0000	406.0000	 32.3042	 25.0000	  0.0000
 46.0000	406.0000	-83.0148	-85.0000	  0.0000
 58.0000	406.0000	     nan	     nan	  1.0000
 70.0000	406.0000	     nan	     nan	  1.0000
 82.0000	406.0000	-50.0000	 15.0000	  0.0000
 94.0000	406.0000	 -0.0000	-70.0000	  0.0000
106.0000	406.0000	     nan	     nan	  1.0000
118.0000	406.0000	     nan	     nan	  1.0000
130.0000	406.0000	     nan	     nan	  1.0000
142.0000	406.0000	     nan	     nan	  1.0000
154.0000	406.0000	     nan	     nan	  1.0000
166.0000	406.0000	  2.9499	  5.0000	  0.0000
178.0000	406.0000	 -0.8655	-25.0000	  0.0000
190.0000	406.0000	     nan	     nan	  1.0000
202.0000	406.0000	  6.3787	-35.0000	  0.0000
214.0000	406.0000	  1.4154	-35.0000	  0.0000
